State,Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Independent Votes,Independent Percent,Independent Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Margin,Margin %,State Total,State Code
Louisiana,10,"686,852",65.32,10,"298,142",28.35,,"52,099",4.95,,,,,"388,710",36.97,"1,051,491",LA
Maine †,2,"256,458",61.46,2,"160,584",38.48,,117,0.03,,1,0,,"95,874",22.98,"417,271",ME
Maine-1,1,"135,388",61.42,1,"85,028",38.58,,Unknown,Unknown,,Unknown,Unknown,,"50,360",22.85,"220,416",ME1
Maine-2,1,"121,120",61.58,1,"75,556",38.42,,Unknown,Unknown,,Unknown,Unknown,,"45,564",23.17,"196,676",ME2
Maryland,10,"829,305",61.26,10,"505,781",37.36,,"18,726",1.38,,,,,"323,524",23.9,"1,353,812",MD
Massachusetts,14,"1,112,078",45.23,,"1,332,540",54.2,14,"2,877",0.12,,43,0,,"?220,462",?8.97,"2,458,756",MA
Michigan,21,"1,961,721",56.2,21,"1,459,435",41.81,,"63,321",1.81,,,,,"502,286",14.39,"3,490,325",MI
Minnesota,10,"898,269",51.58,10,"802,346",46.07,,"31,407",1.8,,,,,"95,923",5.51,"1,741,652",MN
Mississippi,7,"505,125",78.2,7,"126,782",19.63,,"11,598",1.8,,,,,"378,343",58.57,"645,963",MS
Missouri,12,"1,154,058",62.29,12,"698,531",37.71,,,,,,,,"455,527",24.59,"1,852,589",MO
Montana,4,"183,976",57.93,4,"120,197",37.85,,"13,430",4.23,,,,,"63,779",20.08,"317,603",MT
Nebraska,5,"406,298",70.5,5,"169,991",29.5,,,,,,,,"236,307",41,"576,289",NE
Nevada,3,"115,750",63.68,3,"66,016",36.32,,,,,,,,"49,734",27.36,"181,766",NV
New Hampshire,4,"213,724",63.98,4,"116,435",34.86,,"3,386",1.01,,,,,"97,289",29.12,"334,055",NH
New Jersey,17,"1,845,502",61.57,17,"1,102,211",36.77,,"34,378",1.15,,,,,"743,291",24.8,"2,997,229",NJ
New Mexico,4,"235,606",61.05,4,"141,084",36.56,,"8,767",2.27,,,,,"94,522",24.49,"385,931",NM
New York,41,"4,192,778",58.54,41,"2,951,084",41.21,,,,,,,,"1,241,694",17.34,"7,161,830",NY
North Carolina,13,"1,054,889",69.46,13,"438,705",28.89,,"25,018",1.65,,,,,"616,184",40.58,"1,518,612",NC
North Dakota,3,"174,109",62.07,3,"100,384",35.79,,"5,646",2.01,,,,,"73,725",26.28,"280,514",ND
Ohio,25,"2,441,827",59.63,25,"1,558,889",38.07,,"80,067",1.96,,,,,"882,938",21.56,"4,094,787",OH
Oklahoma,8,"759,025",73.7,8,"247,147",24,,"23,728",2.3,,,,,"511,878",49.7,"1,029,900",OK
Oregon,6,"486,686",52.45,6,"392,760",42.33,,"46,211",4.98,,,,,"93,926",10.12,"927,946",OR
Pennsylvania,27,"2,714,521",59.11,27,"1,796,951",39.13,,"70,593",1.54,,,,,"917,570",19.98,"4,592,105",PA
Rhode Island,4,"220,383",53,4,"194,645",46.81,,25,0.01,,2,0,,"25,738",6.19,"415,808",RI
South Carolina,8,"478,427",70.58,8,"189,270",27.92,,"10,166",1.5,,,,,"289,157",42.66,"677,880",SC
South Dakota,4,"166,476",54.15,4,"139,945",45.52,,,,,,,,"26,531",8.63,"307,415",SD
Tennessee,10,"813,147",67.7,10,"357,293",29.75,,"30,373",2.53,,,,,"455,854",37.95,"1,201,182",TN
Texas,26,"2,298,896",66.2,26,"1,154,291",33.24,,"7,098",0.2,,,,,"1,144,605",32.96,"3,472,714",TX
Utah,4,"323,643",67.64,4,"126,284",26.39,,"28,549",5.97,,,,,"197,359",41.25,"478,476",UT
Vermont,3,"117,149",62.66,3,"68,174",36.47,,,,,,,,"48,975",26.2,"186,947",VT
Virginia,12,"988,493",67.84,11,"438,887",30.12,,"19,721",1.35,,,,1,"549,606",37.72,"1,457,019",VA
Washington,9,"837,135",56.92,9,"568,334",38.64,,"58,906",4,,"1,537",0.1,,"268,801",18.28,"1,470,847",WA
West Virginia,6,"484,964",63.61,6,"277,435",36.39,,,,,,,,"207,529",27.22,"762,399",WV
Wisconsin,11,"989,430",53.4,11,"810,174",43.72,,"47,525",2.56,,,,,"179,256",9.67,"1,852,890",WI
Wyoming,3,"100,464",69.01,3,"44,358",30.47,,748,0.51,,,,,"56,106",38.54,"145,570",WY
TOTALS:,538,"47,168,710",60.67,520,"29,173,222",37.52,17,"1,100,868",1.42,0,"3,674",0,1,"17,995,488",23.15,"77,744,027",US
