State,Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Independent Votes,Independent Percent,Independent Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Margin,Margin %,Swing,State Total,State Code
Nevada,3,"92,479",45.81,-,"101,273",50.17,3,-,-,-,"1,519",0.75,-,"-8,794",-4.36,23,"201,876",NV
New Hampshire,4,"147,635",43.47,-,"185,935",54.75,4,"4,095",1.21,-,936,0.28,-,"-38,300",-11.28,18,"339,618",NH
New Jersey,17,"1,444,653",47.92,-,"1,509,688",50.08,17,"32,717",1.09,-,"9,449",0.31,-,"-65,035",-2.16,23,"3,014,472",NJ
New Mexico,4,"201,148",48.28,-,"211,419",50.75,4,-,-,-,"1,110",0.27,-,"-10,271",-2.47,22,"416,590",NM
New York,41,"3,389,558",51.95,41,"3,100,791",47.52,-,"4,303",0.07,-,"12,197",0.19,-,"288,767",4.43,22,"6,525,225",NY
North Carolina,13,"927,365",55.27,13,"741,960",44.22,-,-,-,-,"2,219",0.13,-,"185,405",11.05,52,"1,677,906",NC
North Dakota,3,"136,078",45.8,-,"153,470",51.66,3,"2,952",0.99,-,256,0.09,-,"-17,392",-5.85,20,"297,094",ND
Ohio,25,"2,011,621",48.92,25,"2,000,505",48.65,-,"58,258",1.42,-,"8,961",0.22,-,"11,116",0.27,22,"4,111,873",OH
Oklahoma,8,"532,442",48.75,-,"545,708",49.96,8,"14,101",1.29,-,-,-,-,"-13,266",-1.21,48,"1,092,251",OK
Oregon,6,"490,407",47.62,-,"492,120",47.78,6,"40,207",3.9,-,-,-,-,"-1,713",-0.17,10,"1,029,876",OR
Pennsylvania,27,"2,328,677",50.4,27,"2,205,604",47.73,-,"50,584",1.09,-,-,-,-,"123,073",2.66,23,"4,620,787",PA
Rhode Island,4,"227,636",55.36,4,"181,249",44.08,-,479,0.12,-,715,0.17,-,"46,387",11.28,17,"411,170",RI
South Carolina,8,"450,825",56.17,8,"346,140",43.13,-,-,-,-,-,-,-,"104,685",13.04,56,"802,594",SC
South Dakota,4,"147,068",48.91,-,"151,505",50.39,4,-,-,-,"1,619",0.54,-,"-4,437",-1.48,7,"300,678",SD
Tennessee,10,"825,879",55.94,10,"633,969",42.94,-,"5,004",0.34,-,"1,375",0.09,-,"191,910",13,51,"1,476,346",TN
Texas,26,"2,082,319",51.14,26,"1,953,300",47.97,-,"20,118",0.49,-,263,0.01,-,"129,019",3.17,36,"4,071,884",TX
Utah,4,"182,110",33.65,-,"337,908",62.44,4,"3,907",0.72,-,"2,438",0.45,-,"-155,798",-28.79,12,"541,198",UT
Vermont,3,"81,044",43.14,-,"102,085",54.34,3,"4,001",2.13,-,4,0,-,"-21,041",-11.2,15,"187,855",VT
Virginia,12,"813,896",47.96,-,"836,554",49.29,12,-,-,-,"4,648",0.27,-,"-22,658",-1.34,36,"1,697,094",VA
Washington,9,"717,323",46.11,-,"777,732",50,8,"36,986",2.38,-,"5,042",0.32,-,"-60,409",-3.88,14,"1,555,534",WA
West Virginia,6,"435,914",58.07,6,"314,760",41.93,-,-,-,-,-,-,-,"121,154",16.14,43,"750,674",WV
Wisconsin,11,"1,040,232",49.5,11,"1,004,987",47.83,-,"34,943",1.66,-,"3,814",0.18,-,"35,245",1.68,11,"2,101,336",WI
Wyoming,3,"62,239",39.81,-,"92,717",59.3,3,624,0.4,-,89,0.06,-,"-30,478",-19.49,19,"156,343",WY
TOTALS:,538,"40,831,881",50.08,297,"39,148,634",48.02,240,"740,460",0.91,-,"172,557",0.21,-,"1,683,247",2.06,25,"81,531,584",US
