State,Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Margin,Margin %,State Total,State Code,,,
Pennsylvania,25,"2,584,323",53.34,25,"2,228,131",45.99,–,"6,982",0.14,–,"356,192",7.35,"4,844,903",PA,,,
Rhode Island,4,"212,080",51.66,4,"197,106",48.02,–,277,0.07,–,"14,974",3.65,"410,492",RI,,,
South Carolina,8,"615,539",63.55,8,"344,470",35.57,–,"4,360",0.45,–,"271,069",27.99,"968,540",SC,,,
South Dakota,3,"200,267",63,3,"116,113",36.53,–,–,–,–,"84,154",26.47,"317,867",SD,,,
Tennessee,11,"990,212",57.84,11,"711,714",41.57,–,"3,072",0.18,–,"278,498",16.27,"1,711,993",TN,,,
Texas,29,"3,433,428",63.61,29,"1,949,276",36.11,–,–,–,–,"1,484,152",27.5,"5,397,571",TX,,,
Utah,5,"469,105",74.5,5,"155,369",24.68,–,"2,447",0.39,–,"313,736",49.83,"629,656",UT,,,
Vermont,3,"135,865",57.92,3,"95,730",40.81,–,"1,002",0.43,–,"40,135",17.11,"234,561",VT,,,
Virginia,12,"1,337,078",62.29,12,"796,250",37.09,–,–,–,–,"540,828",25.19,"2,146,635",VA,,,
Washington,10,"1,051,670",55.82,10,"807,352",42.86,–,"8,844",0.47,–,"244,318",12.97,"1,883,910",WA,,,
West Virginia,6,"405,483",55.11,6,"328,125",44.6,–,–,–,–,"77,358",10.51,"735,742",WV,,,
Wisconsin,11,"1,198,800",54.19,11,"995,847",45.02,–,"4,884",0.22,–,"202,953",9.18,"2,212,016",WI,,,
Wyoming,3,"133,241",70.51,3,"53,370",28.24,–,"2,357",1.25,–,"79,871",42.27,"188,968",WY,,,
TOTALS:,538,"54,455,472",58.77,525,"37,577,352",40.56,13,"228,111",0.25,–,"16,878,120",18.22,"92,653,233",US,,,
