State,Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Independent Votes,Independent Percent,Independent Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,Margin,Margin %,State Total,State Code
Illinois,26,"2,358,049",49.65,26,"1,981,413",41.72,-,"346,754",7.3,-,"38,939",0.82,-,"376,636",7.93,"4,749,721",IL
Indiana,13,"1,255,656",56.01,13,"844,197",37.65,-,"111,639",4.98,-,"19,627",0.88,-,"411,459",18.35,"2,242,033",IN
Iowa,8,"676,026",51.31,8,"508,672",38.6,-,"115,633",8.78,-,"13,123",1,-,"167,354",12.7,"1,317,661",IA
Kansas,7,"566,812",57.85,7,"326,150",33.29,-,"68,231",6.96,-,"14,470",1.48,-,"240,662",24.56,"979,795",KS
Kentucky,9,"635,274",49.07,9,"616,417",47.61,-,"31,127",2.4,-,"5,531",0.43,-,"18,857",1.46,"1,294,627",KY
Louisiana,10,"792,853",51.2,10,"708,453",45.75,-,"26,345",1.7,-,"8,240",0.53,-,"84,400",5.45,"1,548,591",LA
Maine †,2,"238,522",45.61,2,"220,974",42.25,-,"53,327",10.2,-,"5,119",0.98,-,"17,548",3.36,"523,011",ME
Maine-1,1,"126,274",45.96,1,"117,613",42.8,–,31,11.24,–,Unknown,Unknown,–,"8,661",3.15,"274,776",ME1
Maine-2,1,"112,248",47.15,1,"103,361",43.42,–,"22,438",9.43,–,Unknown,Unknown,–,"8,887",3.73,"238,047",ME2
Maryland,10,"680,606",44.18,-,"726,161",47.14,10,"119,537",7.76,-,"14,192",0.92,-,"-45,555",-2.96,"1,540,496",MD
Massachusetts,14,"1,057,631",41.9,14,"1,053,802",41.75,-,"382,539",15.15,-,"22,038",0.87,-,"3,829",0.15,"2,524,298",MA
Michigan,21,"1,915,225",48.99,21,"1,661,532",42.5,-,"275,223",7.04,-,"41,597",1.06,-,"253,693",6.49,"3,909,725",MI
Minnesota,10,"873,241",42.56,-,"954,174",46.5,10,"174,990",8.53,-,"31,592",1.54,-,"-80,933",-3.94,"2,051,953",MN
Mississippi,7,"441,089",49.42,7,"429,281",48.09,-,"12,036",1.35,-,"5,465",0.61,-,"11,808",1.32,"892,620",MS
Missouri,12,"1,074,181",51.16,12,"931,182",44.35,-,"77,920",3.71,-,"14,422",0.69,-,"142,999",6.81,"2,099,824",MO
Montana,4,"206,814",56.82,4,"118,032",32.43,-,"29,281",8.05,-,"9,825",2.7,-,"88,782",24.39,"363,952",MT
Nebraska,5,"419,937",65.53,5,"166,851",26.04,-,"44,993",7.02,-,"9,073",1.42,-,"253,086",39.49,"640,854",NE
Nevada,3,"155,017",62.54,3,"66,666",26.89,-,"17,651",7.12,-,"4,358",1.76,-,"88,351",35.64,"247,885",NV
New Hampshire,4,"221,705",57.74,4,"108,864",28.35,-,"49,693",12.94,-,"2,067",0.54,-,"112,841",29.39,"383,999",NH
New Jersey,17,"1,546,557",51.97,17,"1,147,364",38.56,-,"234,632",7.88,-,"20,652",0.69,-,"399,193",13.42,"2,975,684",NJ
New Mexico,4,"250,779",54.97,4,"167,826",36.78,-,"29,459",6.46,-,"4,365",0.96,-,"82,953",18.18,"456,237",NM
New York,41,"2,893,831",46.66,41,"2,728,372",43.99,-,"467,801",7.54,-,"52,648",0.85,-,"165,459",2.67,"6,201,959",NY
North Carolina,13,"915,018",49.3,13,"875,635",47.18,-,"52,800",2.85,-,"9,677",0.52,-,"39,383",2.12,"1,855,833",NC
North Dakota,3,"193,695",64.23,3,"79,189",26.26,-,"23,640",7.84,-,"3,743",1.24,-,"114,506",37.97,"301,545",ND
Ohio,25,"2,206,545",51.51,25,"1,752,414",40.91,-,"254,472",5.94,-,"49,033",1.14,-,"454,131",10.6,"4,283,603",OH
Oklahoma,8,"695,570",60.5,8,"402,026",34.97,-,"38,284",3.33,-,"13,828",1.2,-,"293,544",25.53,"1,149,708",OK
Oregon,6,"571,044",48.33,6,"456,890",38.67,-,"112,389",9.51,-,"25,838",2.19,-,"114,154",9.66,"1,181,516",OR
Pennsylvania,27,"2,261,872",49.59,27,"1,937,540",42.48,-,"292,921",6.42,-,"33,263",0.73,-,"324,332",7.11,"4,561,501",PA
Rhode Island,4,"154,793",37.2,-,"198,342",47.67,4,"59,819",14.38,-,"2,458",0.59,-,"-43,549",-10.47,"416,072",RI
South Carolina,8,"441,207",49.57,8,"427,560",48.04,-,"14,150",1.59,-,"4,975",0.56,-,"13,647",1.53,"890,083",SC
South Dakota,4,"198,343",60.53,4,"103,855",31.69,-,"21,431",6.54,-,"3,824",1.17,-,"94,488",28.83,"327,703",SD
Tennessee,10,"787,761",48.7,10,"783,051",48.41,-,"35,991",2.22,-,"7,116",0.44,-,"4,710",0.29,"1,617,616",TN
Texas,26,"2,510,705",55.28,26,"1,881,147",41.42,-,"111,613",2.46,-,"37,643",0.83,-,"629,558",13.86,"4,541,637",TX
Utah,4,"439,687",72.77,4,"124,266",20.57,-,"30,284",5.01,-,"7,226",1.2,-,"315,421",52.2,"604,222",UT
Vermont,3,"94,598",44.37,3,"81,891",38.41,-,"31,760",14.9,-,"1,900",0.89,-,"12,707",5.96,"213,207",VT
Virginia,12,"989,609",53.03,12,"752,174",40.31,-,"95,418",5.11,-,"12,821",0.69,-,"237,435",12.72,"1,866,032",VA
Washington,9,"865,244",49.66,9,"650,193",37.32,-,"185,073",10.62,-,"29,213",1.68,-,"215,051",12.34,"1,742,394",WA
West Virginia,6,"334,206",45.3,-,"367,462",49.81,6,"31,691",4.3,-,"4,356",0.59,-,"-33,256",-4.51,"737,715",WV
Wisconsin,11,"1,088,845",47.9,11,"981,584",43.18,-,"160,657",7.07,-,"29,135",1.28,-,"107,261",4.72,"2,273,221",WI
Wyoming,3,"110,700",62.64,3,"49,427",27.97,-,"12,072",6.83,-,"4,514",2.55,-,"61,273",34.67,"176,713",WY
TOTALS:,538,"43,903,230",50.75,489,"35,480,115",41.01,49,"5,719,850",6.61,-,"921,128",1.06,-,"8,423,115",9.74,"86,509,678",US
