State,Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Independent Votes,Independent Percent,Libertarian Vote,Libertarian Percent,Other Votes,Other Percent,Margin,Margin %,State Total,State Code
Nebraska-1,1,"80,696",32.6,–,"107,081",43.2,1,"59,974",24.2,–,–,–,–,"-28,847",-10.6,"247,751",NE1
Nebraska-2,1,"78,701",32.4,–,"115,255",47.5,1,"48,657",20.1,–,–,–,–,"-32,226",-15.1,"242,613",NE2
Nebraska-3,1,"57,467",23.5,–,"121,342",49.7,1,"65,473",26.8,–,–,–,–,"-55,869",-26.1,"244,282",NE3
Nevada,4,"189,148",37.36,4,"175,828",34.73,–,"132,580",26.19,"1,835",0,"6,927",1,"13,320",2.63,"506,318",NV
New Hampshire,4,"209,040",38.91,4,"202,484",37.69,–,"121,337",22.59,"3,548",1,806,0,"6,556",1.22,"537,215",NH
New Jersey,15,"1,436,206",42.95,15,"1,356,865",40.58,–,"521,829",15.61,"6,822",0,"21,872",1,"79,341",2.37,"3,343,594",NJ
New Mexico,5,"261,617",45.9,5,"212,824",37.34,–,"91,895",16.12,"1,615",0,"2,035",0,"48,793",8.56,"569,986",NM
New York,33,"3,444,450",49.73,33,"2,346,649",33.88,–,"1,090,721",15.75,"13,451",0,"31,654",0,"1,097,801",15.85,"6,926,925",NY
North Carolina,14,"1,114,042",42.65,–,"1,134,661",43.44,14,"357,864",13.7,"5,171",0,112,0,"?20,619",?0.79,"2,611,850",NC
North Dakota,3,"99,168",32.18,–,"136,244",44.22,3,"71,084",23.07,416,0,"1,221",0,"?37,076",?12.04,"308,133",ND
Ohio,21,"1,984,942",40.18,21,"1,894,310",38.35,–,"1,036,426",20.98,"7,252",0,"17,034",0,"90,632",1.83,"4,939,964",OH
Oklahoma,8,"473,066",34.02,–,"592,929",42.65,8,"319,878",23.01,"4,486",0,–,–,"?119,863",?8.63,"1,390,359",OK
Oregon,7,"621,314",42.48,7,"475,757",32.53,–,"354,091",24.21,"4,277",0,"7,204",0,"145,557",9.95,"1,462,643",OR
Pennsylvania,23,"2,239,164",45.15,23,"1,791,841",36.13,–,"902,667",18.2,"21,477",0,"4,661",0,"447,323",9.02,"4,959,810",PA
Rhode Island,4,"213,299",47.04,4,"131,601",29.02,–,"105,045",23.16,571,0,"2,961",1,"81,698",18.02,"453,477",RI
South Carolina,8,"479,514",39.88,–,"577,507",48.02,8,"138,872",11.55,"2,719",0,"3,915",0,"?97,993",?8.14,"1,202,527",SC
South Dakota,3,"124,888",37.14,–,"136,718",40.66,3,"73,295",21.8,814,0,539,0,"?11,830",?3.52,"336,254",SD
Tennessee,11,"933,521",47.08,11,"841,300",42.43,–,"199,968",10.09,"1,847",0,"6,002",0,"92,221",4.65,"1,982,638",TN
Texas,32,"2,281,815",37.08,–,"2,496,071",40.56,32,"1,354,781",22.01,"19,699",0,"1,652",0,"?214,256",?3.48,"6,154,018",TX
Utah,5,"183,429",24.65,–,"322,632",43.36,5,"203,400",27.34,"1,900",0,"32,637",4,"?119,232",?16.02,"743,998",UT
Vermont,3,"133,592",46.11,3,"88,122",30.42,–,"65,991",22.78,501,0,"1,495",1,"45,470",15.7,"289,701",VT
Virginia,13,"1,038,650",40.59,–,"1,150,517",44.97,13,"348,639",13.63,"5,730",0,"15,129",1,"?111,867",?4.38,"2,558,665",VA
Washington,11,"993,037",43.41,11,"731,234",31.97,–,"541,780",23.68,"7,533",0,"13,981",1,"261,803",11.44,"2,287,565",WA
West Virginia,5,"331,001",48.41,5,"241,974",35.39,–,"108,829",15.91,"1,873",0,–,–,"89,027",13.02,"683,677",WV
Wisconsin,11,"1,041,066",41.13,11,"930,855",36.78,–,"544,479",21.51,"2,877",0.11,"11,837",0.47,"110,211",4.35,"2,531,114",WI
Wyoming,3,"68,160",34.1,–,"79,347",39.7,3,"51,263",25.65,844,0.42,270,0.14,"?11,187",?5.60,"199,884",WY
TOTALS:,538,"44,909,889",43.01,370,"39,104,550",37.45,168,"19,743,821",18.91,"290,087",0.28,"375,659",0.36,"5,805,256",5.56,"104,423,923",US
