State,Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Libertarian Votes,Libertarian Percent,Libertarian Electoral Votes,New Alliance Votes,New Alliance Percent,New Alliance Electoral Votes,Margin,Margin %,State Total,State Code
Montana,4,"190,412",52.07,4,"168,936",46.2,–,"5,047",1.38,–,"1,279",0.35,–,"21,476",5.87,"365,674",MT
Nebraska,5,"398,447",60.15,5,"259,646",39.2,–,"2,536",0.38,–,"1,743",0.26,–,"138,801",20.96,"662,372",NE
Nevada,4,"206,040",58.86,4,"132,738",37.92,–,"3,520",1.01,–,835,0.24,–,"73,302",20.94,"350,067",NV
New Hampshire,4,"281,537",62.49,4,"163,696",36.33,–,"4,502",1,–,790,0.18,–,"117,841",26.16,"450,525",NH
New Jersey,16,"1,743,192",56.24,16,"1,320,352",42.6,–,"8,421",0.27,–,"5,139",0.17,–,"422,840",13.64,"3,099,553",NJ
New Mexico,5,"270,341",51.86,5,"244,497",46.9,–,"3,268",0.63,–,"2,237",0.43,–,"25,844",4.96,"521,287",NM
New York,36,"3,081,871",47.52,–,"3,347,882",51.62,36,"12,109",0.19,–,"15,845",0.24,–,"?266,011",?4.10,"6,485,683",NY
North Carolina,13,"1,237,258",57.97,13,"890,167",41.71,–,"1,263",0.06,–,"5,682",0.27,–,"347,091",16.26,"2,134,370",NC
North Dakota,3,"166,559",56.03,3,"127,739",42.97,–,"1,315",0.44,–,396,0.13,–,"38,820",13.06,"297,261",ND
Ohio,23,"2,416,549",55,23,"1,939,629",44.15,–,"11,989",0.27,–,"12,017",0.27,–,"476,920",10.85,"4,393,699",OH
Oklahoma,8,"678,367",57.93,8,"483,423",41.28,–,"6,261",0.53,–,"2,985",0.25,–,"194,944",16.65,"1,171,036",OK
Oregon,7,"560,126",46.61,–,"616,206",51.28,7,"14,811",1.23,–,"6,487",0.54,–,"?56,080",?4.67,"1,201,694",OR
Pennsylvania,25,"2,300,087",50.7,25,"2,194,944",48.39,–,"12,051",0.27,–,"4,379",0.1,–,"105,143",2.32,"4,536,251",PA
Rhode Island,4,"177,761",43.93,–,"225,123",55.64,4,825,0.2,–,280,0.07,–,"?47,362",?11.71,"404,620",RI
South Carolina,8,"606,443",61.5,8,"370,554",37.58,–,"4,935",0.5,–,"4,077",0.41,–,"235,889",23.92,"986,009",SC
South Dakota,3,"165,415",52.85,3,"145,560",46.51,–,"1,060",0.34,–,730,0.23,–,"19,855",6.34,"312,991",SD
Tennessee,11,"947,233",57.89,11,"679,794",41.55,–,"2,041",0.12,–,"1,334",0.08,–,"267,439",16.34,"1,636,250",TN
Texas,29,"3,036,829",55.95,29,"2,352,748",43.35,–,"30,355",0.56,–,"7,208",0.13,–,"684,081",12.6,"5,427,410",TX
Utah,5,"428,442",66.22,5,"207,343",32.05,–,"7,473",1.16,–,455,0.07,–,"221,099",34.17,"647,008",UT
Vermont,3,"124,331",51.1,3,"115,775",47.58,–,"1,003",0.41,–,205,0.08,–,"8,556",3.52,"243,333",VT
Virginia,12,"1,309,162",59.74,12,"859,799",39.23,–,"8,336",0.38,–,"14,312",0.65,–,"449,363",20.5,"2,191,609",VA
Washington,10,"903,835",48.46,–,"933,516",50.05,10,"17,240",0.92,–,"3,520",0.19,–,"?29,681",?1.59,"1,865,253",WA
West Virginia,6,"310,065",47.46,–,"341,016",52.2,5,–,–,–,"2,230",0.34,–,"?30,951",?4.74,"653,311",WV
Wisconsin,11,"1,047,499",47.8,–,"1,126,794",51.41,11,"5,157",0.24,–,"1,953",0.09,–,"?79,295",?3.62,"2,191,608",WI
Wyoming,3,"106,867",60.53,3,"67,113",38.01,–,"2,026",1.15,–,545,0.31,–,"39,754",22.52,"176,551",WY
TOTALS:,538,"48,886,597",53.37,426,"41,809,476",45.65,111,"431,750",0.47,–,"217,221",0.24,–,"7,077,121",7.73,"91,594,686",US
