State,Electoral Votes,Democratic Votes,Democratic %,Electoral Votes,Republican Votes,Republican %,Electoral Votes,Unpledged Electors Unpledged Democratic Number,Unpledged Electors Unpledged Democratic %,Unpledged Electors Unpledged Democratic Electoral Votes,Eric Hass Votes,Eric Hass Percent,Electoral Votes,Margin,Margin %,State Total,Number
North Carolina,14,"713,136",52.11,14,"655,420",47.89,–,–,–,–,–,–,–,"57,716",4.22,"1,368,556",NC
North Dakota,4,"123,963",44.52,–,"154,310",55.42,4,–,–,–,–,–,–,"?30,347",?10.90,"278,431",ND
Ohio,25,"1,944,248",46.72,–,"2,217,611",53.28,25,–,–,–,–,–,–,"?273,363",?6.57,"4,161,859",OH
Oklahoma,8,"370,111",40.98,–,"533,039",59.02,7,0,0,1,–,–,–,"?162,928",?18.04,"903,150",OK
Oregon,6,"367,402",47.32,–,"408,060",52.56,6,–,–,–,–,–,–,"?40,658",?5.24,"776,421",OR
Pennsylvania,32,"2,556,282",51.06,32,"2,439,956",48.74,–,–,–,–,"7,185",0.14,–,"116,326",2.32,"5,006,541",PA
Rhode Island,4,"258,032",63.63,4,"147,502",36.37,–,–,–,–,–,–,–,"110,530",27.26,"405,535",RI
South Carolina,8,"198,129",51.24,8,"188,558",48.76,–,–,–,–,–,–,–,"9,571",2.48,"386,688",SC
South Dakota,4,"128,070",41.79,–,"178,417",58.21,4,–,–,–,–,–,–,"?50,347",?16.43,"306,487",SD
Tennessee,11,"481,453",45.77,–,"556,577",52.92,11,–,–,–,–,–,–,"?75,124",?7.14,"1,051,792",TN
Texas,24,"1,167,567",50.52,24,"1,121,310",48.52,–,–,–,–,–,–,–,"46,257",2,"2,311,084",TX
Utah,4,"169,248",45.17,–,"205,361",54.81,4,–,–,–,–,–,–,"?36,113",?9.64,"374,709",UT
Vermont,3,"69,186",41.35,–,"98,131",58.65,3,–,–,–,–,–,–,"?28,945",?17.30,"167,324",VT
Virginia,12,"362,327",46.97,–,"404,521",52.44,12,–,–,–,397,0.05,–,"?42,194",?5.47,"771,449",VA
Washington,9,"599,298",48.27,–,"629,273",50.68,9,–,–,–,"10,895",0.88,–,"?29,975",?2.41,"1,241,572",WA
West Virginia,8,"441,786",52.73,8,"395,995",47.27,–,–,–,–,–,–,–,"45,791",5.47,"837,781",WV
Wisconsin,12,"830,805",48.05,–,"895,175",51.77,12,–,–,–,"1,310",0.08,–,"?64,370",?3.72,"1,729,082",WI
Wyoming,3,"63,331",44.99,–,"77,451",55.01,3,–,–,–,–,–,–,"?14,120",?10.03,"140,782",WY
TOTALS:,537,"34,220,984",49.72,303,"34,108,157",49.55,219,"610,409",0.42,15,"47,522",0.07,–,"112,827",0.16,"68,832,482",US
