State,Electoral Votes,Republican Votes,Republican Percent,Republican Electoral Votes,Democrat Votes,Democrat Percent,Democrat Electoral Votes,Independent Votes,Independent Percent,Independent Electoral Votes,Margin,Margin %,State Total,State Code
New Mexico,4,"169,692",51.85,4,"130,081",39.75,-,"25,737",7.86,-,"39,611",12.1,"327,281",NM
New York,43,"3,007,932",44.3,-,"3,378,470",49.76,43,"358,864",5.29,-,"-370,538",-5.46,"6,790,066",NY
North Carolina,13,"627,192",39.51,12,"464,113",29.24,-,"496,188",31.26,1,"131,004",8.25,"1,587,493",NC
North Dakota,4,"138,669",55.94,4,"94,769",38.23,-,"14,244",5.75,-,"43,900",17.71,"247,882",ND
Ohio,26,"1,791,014",45.23,26,"1,700,586",42.95,-,"467,495",11.81,-,"90,428",2.28,"3,959,698",OH
Oklahoma,8,"449,697",47.68,8,"301,658",31.99,-,"191,731",20.33,-,"148,039",15.7,"943,086",OK
Oregon,6,"408,433",49.83,6,"358,866",43.78,-,"49,683",6.06,-,"49,567",6.05,"819,622",OR
Pennsylvania,29,"2,090,017",44.02,-,"2,259,405",47.59,29,"378,582",7.97,-,"-169,388",-3.57,"4,747,928",PA
Rhode Island,4,"122,359",31.78,-,"246,518",64.03,4,"15,678",4.07,-,"-124,159",-32.25,"385,000",RI
South Carolina,8,"254,062",38.09,8,"197,486",29.61,-,"215,430",32.3,-,"38,632",5.79,"666,982",SC
South Dakota,4,"149,841",53.27,4,"118,023",41.96,-,"13,400",4.76,-,"31,818",11.31,"281,264",SD
Tennessee,11,"472,592",37.85,11,"351,233",28.13,-,"424,792",34.02,-,"47,800",3.83,"1,248,617",TN
Texas,25,"1,227,844",39.87,-,"1,266,804",41.14,25,"584,269",18.97,-,"-38,960",-1.27,"3,079,406",TX
Utah,4,"238,728",56.49,4,"156,665",37.07,-,"26,906",6.37,-,"82,063",19.42,"422,568",UT
Vermont,3,"85,142",52.75,3,"70,255",43.53,-,"5,104",3.16,-,"14,887",9.22,"161,404",VT
Virginia,12,"590,319",43.36,12,"442,387",32.49,-,"321,833",23.64,-,"147,932",10.87,"1,361,491",VA
Washington,9,"588,510",45.12,-,"616,037",47.23,9,"96,990",7.44,-,"-27,527",-2.11,"1,304,281",WA
West Virginia,7,"307,555",40.78,-,"374,091",49.6,7,"72,560",9.62,-,"-66,536",-8.82,"754,206",WV
Wisconsin,12,"809,997",47.89,12,"748,804",44.27,-,"127,835",7.56,-,"61,193",3.62,"1,691,538",WI
Wyoming,3,"70,927",55.76,3,"45,173",35.51,-,"11,105",8.73,-,"25,754",20.25,"127,205",WY
TOTALS:,538,"31,783,783",43.42,301,"31,271,839",42.72,191,"9,901,118",13.53,46,"511,944",0.7,"73,199,998",US
